Day,Channel,Format,Content,Hook,CTA,Asset Needed
1,Kids,Short,Publish Henry Ford episode,Henry Ford's big dream started small,Watch the next story,Marlene 720p video
1,Build,Short,Announce the project,I am building an AI kids show but not AI slop,Follow the build,Screen recording of Henry Ford video
2,Build,Short,Market research lesson,The market research was useful but the blueprint was dangerous,Follow for the cleaner version,Notes screenshot and storyboard
3,Build,Poll,Choose episode 2,Who should episode two be,Vote or comment,Four character cards
4,Kids,Community or short teaser,Next dreamer teaser,Every big dream starts small,Watch episode 2 teaser,Single character image
5,Build,Short,Narrator test recap,The narrator changed the whole episode,Comment favorite voice,Voice audition screen
6,Build,Post,Two-channel strategy,One channel is the show and one is the build,Follow the build,Split screen graphic
7,Kids,Short,Henry Ford repost angle,He took clocks apart to learn,Watch the full story,Alternate caption
8,Build,Short,Failure problem,The first version was too cheerful,Follow for episode 2,Before/after clip
9,Kids,Short,Episode 2 teaser,She looked up and wondered what was possible,Watch tomorrow,Amelia or selected figure still
10,Kids,Short,Publish episode 2,Big dreams start with one brave question,Watch the playlist,Episode 2 final video
10,Build,Short,Episode 2 build diary,Here is what changed from episode 1 to episode 2,Follow the build,Timeline screenshot
11,Build,Post,Tool stack breakdown,The AI tools are not the strategy,Save this workflow,Workflow graphic
12,Kids,Short,Episode 2 lesson remix,Trying again is part of the story,Watch more stories,Captioned excerpt
13,Build,Short,Prompting lesson,Specific objects beat vague prompts,Save for later,Prompt examples
14,Build,Poll,Pick episode 3,Which dreamer should we tell next,Vote or comment,Four character cards
15,Kids,Short,Episode 3 teaser,Before the big dream there was a small problem,Watch tomorrow,Selected figure still
16,Kids,Short,Publish episode 3,A small step changed everything,Watch the playlist,Episode 3 final video
16,Build,Short,Production loop,The repeatable system matters more than one video,Follow each step,Research-to-edit montage
17,Build,Post,What parents should trust,AI is the tool not the teacher,Share with a parent,Trust checklist graphic
18,Kids,Short,Episode 1 compilation tease,Three dreamers who started small,Watch the playlist,Clips from episodes 1-3
19,Build,Short,Metrics check,The first videos taught me this,Follow for the next test,Analytics screenshot with sensitive info hidden
20,Build,Short,Music choice,The music has to support the story not fight it,Save the production note,Audio timeline
21,Kids,Short,Episode 4 teaser,The next story starts with a messy idea,Watch tomorrow,Selected figure still
22,Kids,Short,Publish episode 4,Messy starts can become big dreams,Watch the playlist,Episode 4 final video
22,Build,Short,Behind the voice,Why I picked warm over dramatic,Follow the build,Voice clips
23,Build,Post,Anti-slop rules,Every episode needs a real obstacle,Save the rules,Rules graphic
24,Kids,Short,Question prompt,What would you build if you could start small,Watch the stories,End-card animation
25,Build,Short,Storyboard lesson,If the scene has no object it is too vague,Save this,Storyboard pages
26,Build,Poll,Parent feedback,Would you show this to a kid,Vote,Clip preview
27,Kids,Short,Episode 5 teaser,A quiet notebook helped a rocket fly,Watch tomorrow,Katherine Johnson still
28,Kids,Short,Publish episode 5,Careful thinking can change the world,Watch the playlist,Episode 5 final video
29,Build,Short,Month one recap,I made the first month of an AI-assisted kids IP,Follow month two,Montage
30,Build,Post,Next month slate,Here are the next five dreamers,Comment who should be next,Episode slate graphic

